   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/03/13
  -8.57813  -8.49348  -8.39708  -8.29926  -8.21303  -8.14405  -8.08605  -8.02809
  -8.22606  -8.22611  -8.22620  -8.22640  -8.22682  -8.22761  -8.22904  -8.23131
  -8.23384  -8.23513  -8.23352  -8.22824  -8.21864  -8.20307  -8.17804  -8.13997
  -8.08729  -8.02269  -7.94904  -7.87318  -7.80529  -7.74755  -7.69245  -7.63055
  -7.86309  -7.86313  -7.86321  -7.86337  -7.86372  -7.86446  -7.86578  -7.86777
  -7.87046  -7.87176  -7.86956  -7.86645  -7.86015  -7.84713  -7.82773  -7.79800
  -7.75640  -7.70713  -7.65110  -7.59313  -7.54050  -7.49230  -7.44176  -7.38178
  -7.62015  -7.62018  -7.62025  -7.62038  -7.62066  -7.62130  -7.62238  -7.62389
  -7.62609  -7.62725  -7.62538  -7.62285  -7.61792  -7.60762  -7.59203  -7.56712
  -7.53235  -7.49364  -7.45125  -7.40748  -7.36642  -7.32601  -7.28023  -7.22370
  -7.45912  -7.45915  -7.45920  -7.45931  -7.45955  -7.46001  -7.46081  -7.46207
  -7.46352  -7.46450  -7.46418  -7.46182  -7.45721  -7.44925  -7.43465  -7.41211
  -7.38285  -7.35020  -7.31618  -7.28242  -7.24978  -7.21589  -7.17532  -7.12345
  -7.35534  -7.35536  -7.35540  -7.35549  -7.35568  -7.35603  -7.35667  -7.35767
  -7.35886  -7.35973  -7.35955  -7.35753  -7.35366  -7.34689  -7.33355  -7.31271
  -7.28600  -7.25707  -7.22866  -7.20170  -7.17507  -7.14601  -7.11016  -7.06359
  -7.29246  -7.29247  -7.29250  -7.29257  -7.29271  -7.29298  -7.29351  -7.29435
  -7.29490  -7.29520  -7.29538  -7.29385  -7.28997  -7.28318  -7.27133  -7.25195
  -7.22623  -7.20051  -7.17677  -7.15447  -7.13177  -7.10703  -7.07559  -7.03274
  -7.25644  -7.25645  -7.25647  -7.25653  -7.25664  -7.25685  -7.25725  -7.25786
  -7.25850  -7.25896  -7.25885  -7.25714  -7.25375  -7.24795  -7.23653  -7.21842
  -7.19535  -7.17160  -7.15012  -7.13116  -7.11230  -7.09131  -7.06348  -7.02431
  -7.24114  -7.24115  -7.24117  -7.24121  -7.24129  -7.24147  -7.24178  -7.24223
  -7.24286  -7.24332  -7.24307  -7.24176  -7.23889  -7.23343  -7.22353  -7.20693
  -7.18459  -7.16267  -7.14366  -7.12710  -7.11075  -7.09215  -7.06725  -7.03213
  -7.24057  -7.24058  -7.24059  -7.24063  -7.24070  -7.24082  -7.24106  -7.24147
  -7.24175  -7.24169  -7.24128  -7.24035  -7.23805  -7.23324  -7.22475  -7.20988
  -7.18912  -7.16858  -7.15095  -7.13625  -7.12223  -7.10570  -7.08314  -7.05132
  -7.24818  -7.24818  -7.24819  -7.24821  -7.24827  -7.24835  -7.24855  -7.24894
  -7.24889  -7.24864  -7.24875  -7.24797  -7.24584  -7.24187  -7.23398  -7.22059
  -7.20240  -7.18330  -7.16682  -7.15359  -7.14106  -7.12669  -7.10698  -7.07814
  -7.26060  -7.26061  -7.26062  -7.26064  -7.26068  -7.26075  -7.26090  -7.26114
  -7.26139  -7.26146  -7.26119  -7.26054  -7.25892  -7.25536  -7.24874  -7.23723
  -7.22077  -7.20294  -7.18770  -7.17581  -7.16468  -7.15215  -7.13481  -7.10868
  -7.27702  -7.27702  -7.27703  -7.27704  -7.27707  -7.27714  -7.27725  -7.27743
  -7.27768  -7.27790  -7.27787  -7.27729  -7.27570  -7.27257  -7.26711  -7.25709
  -7.24234  -7.22662  -7.21266  -7.20125  -7.19106  -7.17978  -7.16425  -7.14092
  -7.29503  -7.29503  -7.29504  -7.29505  -7.29507  -7.29512  -7.29521  -7.29535
  -7.29553  -7.29573  -7.29586  -7.29569  -7.29468  -7.29217  -7.28747  -7.27919
  -7.26683  -7.25217  -7.23871  -7.22817  -7.21929  -7.20977  -7.19632  -7.17514
  -7.31587  -7.31587  -7.31587  -7.31588  -7.31590  -7.31592  -7.31599  -7.31617
  -7.31597  -7.31557  -7.31562  -7.31587  -7.31545  -7.31346  -7.30944  -7.30212
  -7.29099  -7.27788  -7.26623  -7.25704  -7.24834  -7.23927  -7.22717  -7.20812
  -7.33823  -7.33824  -7.33824  -7.33824  -7.33827  -7.33825  -7.33831  -7.33859
  -7.33780  -7.33655  -7.33661  -7.33730  -7.33734  -7.33579  -7.33240  -7.32565
  -7.31534  -7.30430  -7.29513  -7.28732  -7.27825  -7.26903  -7.25800  -7.24122
  -7.36108  -7.36108  -7.36108  -7.36108  -7.36111  -7.36105  -7.36112  -7.36150
  -7.36010  -7.35794  -7.35802  -7.35922  -7.35978  -7.35869  -7.35592  -7.34974
  -7.34031  -7.33145  -7.32482  -7.31840  -7.30897  -7.29958  -7.28960  -7.27510
  -7.38412  -7.38413  -7.38412  -7.38412  -7.38417  -7.38407  -7.38414  -7.38464
  -7.38260  -7.37947  -7.37956  -7.38133  -7.38248  -7.38189  -7.37971  -7.37412
  -7.36563  -7.35904  -7.35501  -7.35001  -7.34021  -7.33065  -7.32173  -7.30951
  -7.40720  -7.40720  -7.40719  -7.40719  -7.40724  -7.40711  -7.40719  -7.40782
  -7.40510  -7.40096  -7.40106  -7.40345  -7.40528  -7.40519  -7.40360  -7.39860
  -7.39112  -7.38689  -7.38552  -7.38196  -7.37180  -7.36206  -7.35420  -7.34425
  -7.43017  -7.43017  -7.43016  -7.43016  -7.43022  -7.43005  -7.43014  -7.43091
  -7.42749  -7.42226  -7.42237  -7.42546  -7.42802  -7.42847  -7.42745  -7.42304
  -7.41664  -7.41487  -7.41622  -7.41410  -7.40360  -7.39369  -7.38689  -7.37922
  -7.45295  -7.45296  -7.45294  -7.45294  -7.45302  -7.45280  -7.45291  -7.45383
  -7.44967  -7.44328  -7.44340  -7.44725  -7.45062  -7.45164  -7.45118  -7.44737
