   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -14.85955 -14.90757 -14.93681 -15.10999 -15.21081 -14.87094 -14.52292 -14.17472
 -14.20174 -14.25035 -14.30233 -14.35626 -14.41127 -14.46867 -14.53083 -14.59831
 -14.66777 -14.73814 -14.80962 -14.88113 -14.94560 -14.99845 -15.03958 -15.07133
 -15.11066 -15.15858 -15.18776 -15.36094 -15.46178 -15.12197 -14.77403 -14.42593
 -14.45390 -14.50250 -14.55449 -14.60841 -14.66340 -14.72078 -14.78289 -14.85028
 -14.91964 -14.98990 -15.06130 -15.13276 -15.19719 -15.24999 -15.29105 -15.32272
 -15.36193 -15.40976 -15.43889 -15.61206 -15.71293 -15.37316 -15.02527 -14.67725
 -14.70605 -14.75466 -14.80664 -14.86056 -14.91554 -14.97289 -15.03496 -15.10229
 -15.17156 -15.24172 -15.31305 -15.38447 -15.44885 -15.50162 -15.54263 -15.57421
 -15.61333 -15.66108 -15.69016 -15.86333 -15.96422 -15.62447 -15.27664 -14.92868
 -14.95821 -15.00682 -15.05880 -15.11271 -15.16768 -15.22501 -15.28705 -15.35431
 -15.42351 -15.49359 -15.56486 -15.63624 -15.70059 -15.75332 -15.79428 -15.82580
 -15.86484 -15.91252 -15.94156 -16.11472 -16.21563 -15.87591 -15.52811 -15.18021
 -15.21037 -15.25897 -15.31095 -15.36486 -15.41983 -15.47714 -15.53915 -15.60637
 -15.67549 -15.74551 -15.81672 -15.88806 -15.95238 -16.00508 -16.04600 -16.07747
 -16.11645 -16.16407 -16.19308 -16.36623 -16.46716 -16.12744 -15.77967 -15.43181
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 15/03/13
 -12.08048 -12.08048 -12.08048 -12.08048 -12.08048 -12.08046 -12.08044 -12.08043
 -12.08023 -12.08013 -12.08046 -12.08036 -12.08002 -12.07984 -12.07912 -12.07662
 -12.07198 -12.06557 -12.05288 -12.02728 -11.97624 -11.87256 -11.68116 -11.38632
 -11.94168 -11.94168 -11.94168 -11.94168 -11.94167 -11.94166 -11.94165 -11.94160
 -11.94151 -11.94128 -11.94096 -11.94123 -11.94170 -11.94144 -11.94031 -11.93933
 -11.93846 -11.93513 -11.92632 -11.90778 -11.87047 -11.79450 -11.65585 -11.43602
 -11.84756 -11.84756 -11.84755 -11.84755 -11.84755 -11.84754 -11.84752 -11.84745
 -11.84746 -11.84719 -11.84644 -11.84700 -11.84745 -11.84609 -11.84537 -11.84543
 -11.84518 -11.84244 -11.83670 -11.82514 -11.79976 -11.74665 -11.64856 -11.48595
 -11.73944 -11.73943 -11.73943 -11.73943 -11.73942 -11.73939 -11.73935 -11.73926
 -11.73910 -11.73871 -11.73809 -11.73805 -11.73792 -11.73716 -11.73749 -11.73749
 -11.73661 -11.73580 -11.73208 -11.72338 -11.70753 -11.67391 -11.60583 -11.48460
 -11.61308 -11.61307 -11.61306 -11.61303 -11.61294 -11.61283 -11.61251 -11.61187
 -11.61183 -11.61190 -11.61081 -11.60980 -11.60944 -11.60928 -11.60848 -11.60754
 -11.60668 -11.60372 -11.59754 -11.58696 -11.56820 -11.52991 -11.45723 -11.33104
 -11.49849 -11.49847 -11.49841 -11.49829 -11.49803 -11.49752 -11.49652 -11.49480
 -11.49284 -11.49113 -11.48975 -11.48829 -11.48697 -11.48604 -11.48454 -11.48240
 -11.47978 -11.47548 -11.46828 -11.45599 -11.43434 -11.39362 -11.32096 -11.19409
 -11.44453 -11.44436 -11.44402 -11.44334 -11.44200 -11.43949 -11.43517 -11.42884
 -11.42146 -11.41576 -11.41352 -11.41378 -11.41532 -11.41754 -11.41958 -11.42095
 -11.42144 -11.42039 -11.41785 -11.41255 -11.40070 -11.37438 -11.32191 -11.22010
 -11.46757 -11.46671 -11.46495 -11.46148 -11.45488 -11.44316 -11.42455 -11.39991
 -11.37566 -11.36110 -11.35925 -11.36703 -11.37965 -11.39379 -11.40758 -11.42050
 -11.43274 -11.44427 -11.45516 -11.46480 -11.47054 -11.46467 -11.43808 -11.37122
 -11.54775 -11.54536 -11.54055 -11.53119 -11.51382 -11.48445 -11.44142 -11.38987
 -11.34497 -11.32271 -11.32471 -11.34369 -11.37128 -11.40212 -11.43347 -11.46384
 -11.49258 -11.51983 -11.54700 -11.57445 -11.59918 -11.61170 -11.60707 -11.57232
 -11.66928 -11.66506 -11.65664 -11.64041 -11.61144 -11.56431 -11.49801 -11.42511
 -11.36657 -11.33913 -11.34425 -11.37302 -11.41457 -11.46112 -11.50918 -11.55600
 -11.59970 -11.64097 -11.68202 -11.72364 -11.76251 -11.78947 -11.80300 -11.79404
